Product_ID,Product_Name,Category,Sector,Unit,Purchase_Price,Selling_Price,Current_Stock,Minimum_Stock,Maximum_Stock,Reorder_Level,Status,Description,Supplier_ID,Lead_Time_Days,Record_Type,Sale_ID,Business_ID,Date,Customer_ID,Quantity,Discount_Percent,Total_Amount,Payment_Mode,Payment_Status,Credit_Amount,Notes,Expense_ID,Amount,Is_Fixed,Customer_Name,Contact_Number,Customer_Type,Total_Credit_Sales,Total_Payments_Received,Outstanding_Amount,Last_Payment_Date,Days_Overdue,Vendor_ID,Vendor_Name,Material_Type,Total_Ordered_Amount,Total_Paid_Amount,Outstanding_Balance,Next_Payment_Date,Credit_Days_Allowed,Loan_ID,Loan_Provider,Principal_Amount,Interest_Rate,Tenure_Months,Monthly_EMI,Outstanding_Principal,Start_Date,Next_Due_Date,Loan_Type
PROD011,Brass Tap - 15 mm,Plumbing,Hardware,Piece,₹ 180,₹ 295,25.0,10.0,60.0,15.0,Healthy,Durable brass water tap for household and small commercial plumbing.,SUPP002,10.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,Tile Adhesive - 20 kg,Construction,Hardware,Bag,₹ 285,₹ 390,18.0,15.0,50.0,25.0,Healthy,Cement-based adhesive for ceramic and floor tile installation.,SUPP003,8.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0001,BUS001,2026-06-01,CUST024,3.0,0.0,₹ 1275,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0002,BUS001,2026-06-01,CUST007,29.0,0.0,₹ 435,Credit,Pending,₹ 435,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,,,,,,₹ 520,,,,,,,,,Sale,SALE0003,BUS001,2026-06-01,CUST039,4.0,10.0,₹ 1872,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0004,BUS001,2026-06-01,CUST004,3.0,0.0,₹ 270,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 295,,,,,,,,,Sale,SALE0005,BUS001,2026-06-01,CUST027,5.0,0.0,₹ 1475,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0006,BUS001,2026-06-01,CUST030,50.0,0.0,₹ 750,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0007,BUS001,2026-06-01,CUST013,4.0,10.0,₹ 486,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0008,BUS001,2026-06-02,CUST040,14.0,0.0,₹ 5950,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0009,BUS001,2026-06-02,CUST004,1.0,0.0,₹ 135,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0010,BUS001,2026-06-02,CUST021,34.0,0.0,₹ 510,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0011,BUS001,2026-06-02,CUST016,2.0,0.0,₹ 4900,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0012,BUS001,2026-06-02,CUST038,1.0,0.0,₹ 50,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0013,BUS001,2026-06-02,CUST031,1.0,0.0,₹ 2450,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0014,BUS001,2026-06-02,CUST033,39.0,10.0,₹ 526,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0015,BUS001,2026-06-02,CUST023,8.0,0.0,₹ 720,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0016,BUS001,2026-06-03,CUST017,3.0,0.0,₹ 150,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0017,BUS001,2026-06-03,CUST028,3.0,0.0,₹ 66,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0018,BUS001,2026-06-03,CUST028,10.0,0.0,₹ 220,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0019,BUS001,2026-06-03,CUST032,6.0,5.0,₹ 2422,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0020,BUS001,2026-06-03,CUST010,5.0,10.0,₹ 11025,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0021,BUS001,2026-06-03,CUST025,4.0,10.0,₹ 486,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0022,BUS001,2026-06-03,CUST031,7.0,0.0,₹ 630,Credit,Pending,₹ 630,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0023,BUS001,2026-06-04,CUST026,6.0,5.0,₹ 1254,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0024,BUS001,2026-06-04,CUST011,2.0,0.0,₹ 4900,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 390,,,,,,,,,Sale,SALE0025,BUS001,2026-06-04,CUST016,4.0,0.0,₹ 1560,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0026,BUS001,2026-06-04,CUST005,3.0,0.0,₹ 150,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0027,BUS001,2026-06-05,CUST034,6.0,0.0,₹ 132,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,,,,,,₹ 520,,,,,,,,,Sale,SALE0028,BUS001,2026-06-05,CUST001,4.0,0.0,₹ 2080,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0029,BUS001,2026-06-05,CUST003,12.0,0.0,₹ 5100,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0030,BUS001,2026-06-05,CUST032,3.0,0.0,₹ 405,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0031,BUS001,2026-06-06,CUST020,4.0,0.0,₹ 1700,Credit,Pending,₹ 1700,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0032,BUS001,2026-06-06,CUST008,9.0,5.0,₹ 3633,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0033,BUS001,2026-06-06,CUST035,5.0,0.0,₹ 250,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 295,,,,,,,,,Sale,SALE0034,BUS001,2026-06-06,CUST015,4.0,0.0,₹ 1180,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 295,,,,,,,,,Sale,SALE0035,BUS001,2026-06-06,CUST033,5.0,0.0,₹ 1475,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0036,BUS001,2026-06-06,CUST032,4.0,0.0,₹ 200,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,,,,,,₹ 520,,,,,,,,,Sale,SALE0037,BUS001,2026-06-07,CUST035,3.0,0.0,₹ 1560,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 390,,,,,,,,,Sale,SALE0038,BUS001,2026-06-07,CUST014,4.0,0.0,₹ 1560,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0039,BUS001,2026-06-07,CUST036,4.0,10.0,₹ 3060,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,,,,,,₹ 520,,,,,,,,,Sale,SALE0040,BUS001,2026-06-07,CUST026,5.0,0.0,₹ 2600,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0041,BUS001,2026-06-07,CUST022,2.0,0.0,₹ 1700,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0042,BUS001,2026-06-07,CUST023,3.0,0.0,₹ 2550,Credit,Pending,₹ 2550,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0043,BUS001,2026-06-07,CUST020,35.0,0.0,₹ 525,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0044,BUS001,2026-06-07,CUST025,30.0,0.0,₹ 450,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0045,BUS001,2026-06-07,CUST030,4.0,0.0,₹ 1700,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0046,BUS001,2026-06-07,CUST011,1.0,0.0,₹ 2450,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0047,BUS001,2026-06-07,CUST017,4.0,0.0,₹ 3400,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0048,BUS001,2026-06-07,CUST020,31.0,10.0,₹ 418,Credit,Pending,₹ 418,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0049,BUS001,2026-06-07,CUST011,2.0,0.0,₹ 44,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0050,BUS001,2026-06-08,CUST027,2.0,0.0,₹ 180,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0051,BUS001,2026-06-08,CUST011,15.0,0.0,₹ 225,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0052,BUS001,2026-06-08,CUST003,5.0,0.0,₹ 450,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0053,BUS001,2026-06-08,CUST026,3.0,0.0,₹ 405,Credit,Pending,₹ 405,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0054,BUS001,2026-06-08,CUST017,2.0,5.0,₹ 4655,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0055,BUS001,2026-06-08,CUST009,9.0,0.0,₹ 198,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0056,BUS001,2026-06-08,CUST030,1.0,0.0,₹ 850,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0057,BUS001,2026-06-08,CUST015,12.0,10.0,₹ 4590,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 295,,,,,,,,,Sale,SALE0058,BUS001,2026-06-08,CUST020,3.0,0.0,₹ 885,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0059,BUS001,2026-06-09,CUST012,2.0,0.0,₹ 440,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0060,BUS001,2026-06-09,CUST010,14.0,5.0,₹ 5652,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0061,BUS001,2026-06-09,CUST011,5.0,10.0,₹ 99,Credit,Pending,₹ 99,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0062,BUS001,2026-06-09,CUST019,3.0,0.0,₹ 270,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0063,BUS001,2026-06-09,CUST039,11.0,0.0,₹ 4675,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0064,BUS001,2026-06-09,CUST037,10.0,0.0,₹ 220,Credit,Pending,₹ 220,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0065,BUS001,2026-06-09,CUST016,3.0,0.0,₹ 7350,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0066,BUS001,2026-06-09,CUST035,2.0,0.0,₹ 180,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0067,BUS001,2026-06-09,CUST039,8.0,0.0,₹ 1760,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0068,BUS001,2026-06-09,CUST016,10.0,0.0,₹ 2200,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0069,BUS001,2026-06-09,CUST006,4.0,0.0,₹ 88,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0070,BUS001,2026-06-09,CUST039,3.0,0.0,₹ 660,Credit,Pending,₹ 660,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0071,BUS001,2026-06-09,CUST001,2.0,0.0,₹ 4900,Credit,Pending,₹ 4900,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0072,BUS001,2026-06-09,CUST024,4.0,0.0,₹ 540,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0073,BUS001,2026-06-09,CUST029,9.0,10.0,₹ 729,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0074,BUS001,2026-06-09,CUST009,5.0,0.0,₹ 450,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0075,BUS001,2026-06-09,CUST001,4.0,0.0,₹ 540,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2450,,,,,,,,,Sale,SALE0076,BUS001,2026-06-09,CUST039,3.0,0.0,₹ 7350,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0077,BUS001,2026-06-09,CUST010,1.0,0.0,₹ 50,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,,,,,,₹ 520,,,,,,,,,Sale,SALE0078,BUS001,2026-06-10,CUST035,2.0,0.0,₹ 1040,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 50,,,,,,,,,Sale,SALE0079,BUS001,2026-06-10,CUST017,3.0,0.0,₹ 150,Credit,Pending,₹ 150,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0080,BUS001,2026-06-10,CUST036,32.0,5.0,₹ 456,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0081,BUS001,2026-06-10,CUST015,5.0,0.0,₹ 450,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0082,BUS001,2026-06-10,CUST005,38.0,0.0,₹ 570,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0083,BUS001,2026-06-10,CUST031,10.0,0.0,₹ 2200,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 390,,,,,,,,,Sale,SALE0084,BUS001,2026-06-10,CUST035,3.0,0.0,₹ 1170,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 390,,,,,,,,,Sale,SALE0085,BUS001,2026-06-10,CUST039,3.0,0.0,₹ 1170,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0086,BUS001,2026-06-10,CUST012,14.0,0.0,₹ 5950,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 425,,,,,,,,,Sale,SALE0087,BUS001,2026-06-10,CUST038,4.0,0.0,₹ 1700,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0088,BUS001,2026-06-10,CUST026,5.0,0.0,₹ 4250,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0089,BUS001,2026-06-10,CUST016,10.0,0.0,₹ 220,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0090,BUS001,2026-06-10,CUST031,5.0,0.0,₹ 450,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0091,BUS001,2026-06-10,CUST033,2.0,0.0,₹ 180,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0092,BUS001,2026-06-10,CUST038,5.0,0.0,₹ 1100,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 15,,,,,,,,,Sale,SALE0093,BUS001,2026-06-10,CUST014,24.0,10.0,₹ 324,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 135,,,,,,,,,Sale,SALE0094,BUS001,2026-06-11,CUST022,3.0,0.0,₹ 405,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,,,,,,₹ 520,,,,,,,,,Sale,SALE0095,BUS001,2026-06-11,CUST037,4.0,0.0,₹ 2080,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0096,BUS001,2026-06-11,CUST026,10.0,0.0,₹ 2200,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 90,,,,,,,,,Sale,SALE0097,BUS001,2026-06-11,CUST032,5.0,0.0,₹ 450,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 850,,,,,,,,,Sale,SALE0098,BUS001,2026-06-11,CUST017,3.0,0.0,₹ 2550,Credit,Pending,₹ 2550,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 22,,,,,,,,,Sale,SALE0099,BUS001,2026-06-11,CUST003,9.0,0.0,₹ 198,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0100,BUS001,2026-06-11,CUST021,8.0,10.0,₹ 1584,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 220,,,,,,,,,Sale,SALE0101,BUS001,2026-06-11,CUST012,2.0,0.0,₹ 440,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
